,text,cluster
0,пока; 2024-03-02T14:29:01.773Z,прощания
1,пока; 2024-03-02T14:29:07.513Z,полизитика
2,досвидания; 2024-03-02T14:29:08.331Z,прощания
3,всем привет,приветствия
4,салам,приветствия
5,здравствуйте,1
6,у меня наушники сломались,технические вопросы
7,и у меня микрофон теперь только включается,технические вопросы
8,но не работает,технические вопросы
9,бывавет,неформальные нейтральные сообщения
10,а нас только 2 будет чтоли?,запросы о группах и обучении
11,почему нас толькоидвое,вопросы
12,ой,неформальные нейтральные сообщения
13,да сеня тот же вопрос,вопросы
14,"Аня, ку",неформальные нейтральные сообщения
15,здарова,приветствия
16,привет,1
17,Андрюха не придет,прощания
18,Саня опоздает,неформальные нейтральные сообщения
19,Саши тож не юудет,токсичные сообщения
20,будет,гладкой речи
21,почему,вопросы
22,"он писал, что уехал по делам и просто не успевает вовремя на занятие",прощания
23,а чё ты у меня спрашиваешь у него спроси,вопросы
24,меклис привет,приветствия
25,ну типо ты сказала что его не будет,политтика
26,"Меклис, ку",флуд
27,саша сказал то что его не будет,заключительные слова
28,не факт,токсичные сообщения
29,Президент,политика
30,должны быть,запросы о группах и обучении
31,"блин, уже 29 урок",неформальные нейтральные сообщения
32,скоро мы не будем видиться каждую неделю(,прощания
33,ага,неформальные нейтральные сообщения
34,даа,1
35,3 недели осталось,обучение и опыт
36,у меня не пустл,технические проблемы
37,"о ема, у меня за эту четверть лишь 3 тройки",оценка успеваемости
38,у меня там и заполнены только вопросы,запросы
39,надо ссылку на приложение скинуть?,технические вопросы
40,ща,нет соответствующей группы
41,где мы его будем делать,технические вопросы
42,можно отойти на 2 минутки?,вопросы о времени
43,ладно,неформальные нейтральные сообщения
44,конкурентов по нашей теме?,соревнования
45,ок,неформальные нейтральные сообщения
46,я не могу таблицу редактировать,технические вопросы
47,у меня меня не нажимается что юы пимсать,технические вопросы
48,"все, спасибо",неформальные нейтральные сообщения
49,а я случайно отравила запрос на редактировпание,технические вопросы
50,а как скачать,запросы о группах и обучении
51,спасибо,обмен комментариями с комплиментами
52,да; 2024-03-02T13:29:36.329Z,позитивные неформальные сообщения
53,первый готов,нейтральные начальства
54,могу,запросы
55,нашего,обучение и опыт
56,да,ничего новogo
57,а перерыв скоро?,прощания
58,а что все минусы ставят?,технические вопросы
